Log File Created
No of vertices 320800
Initialization successfull
LeftHand is 0.950000
LeftHand is 1.900000
LeftHand is 2.850000
LeftHand is 3.800000
LeftHand is 4.750000
LeftHand is 5.700000
LeftHand is 6.650000
LeftHand is 7.599999
LeftHand is 8.549999
LeftHand is 9.499999
LeftHand is 10.449999
LeftHand is 11.399999
LeftHand is 12.349998
LeftHand is 13.299998
LeftHand is 14.249998
LeftHand is 15.199998
LeftHand is 16.149998
LeftHand is 17.099998
LeftHand is 18.049999
LeftHand is 19.000000
LeftHand is 19.950001
LeftHand is 20.900002
LeftHand is 21.850002
LeftHand is 22.800003
LeftHand is 23.750004
LeftHand is 24.700005
LeftHand is 25.650005
LeftHand is 26.600006
LeftHand is 27.550007
LeftHand is 28.500008
LeftHand is 29.450008
LeftHand is 30.400009
LeftHand is 31.350010
LeftHand is 32.300011
LeftHand is 33.250011
LeftHand is 34.200012
LeftHand is 35.150013
LeftHand is 36.100014
LeftHand is 37.050014
LeftHand is 38.000015
LeftHand is 38.950016
LeftHand is 39.900017
LeftHand is 40.850018
LeftHand is 41.800018
LeftHand is 42.750019
LeftHand is 43.700020
LeftHand is 44.650021
LeftHand is 45.600021
LeftHand is 46.550022
LeftHand is 47.500023
LeftHand is 48.450024
LeftHand is 49.400024
LeftHand is 50.350025
LeftHand is 51.300026
LeftHand is 52.250027
LeftHand is 53.200027
LeftHand is 54.150028
LeftHand is 55.100029
LeftHand is 56.050030
LeftHand is 57.000031
LeftHand is 57.950031
LeftHand is 58.900032
LeftHand is 59.850033
LeftHand is 60.800034
LeftHand is 61.750034
LeftHand is 62.700035
LeftHand is 63.650036
LeftHand is 64.600037
LeftHand is 65.550034
LeftHand is 66.500031
LeftHand is 67.450027
LeftHand is 68.400024
LeftHand is 69.350021
LeftHand is 70.300018
LeftHand is 71.250015
LeftHand is 72.200012
LeftHand is 73.150009
LeftHand is 74.100006
LeftHand is 75.050003
LeftHand is 76.000000
LeftHand is 76.949997
LeftHand is 77.899994
LeftHand is 78.849991
LeftHand is 79.799988
LeftHand is 80.749985
LeftHand is 81.699982
LeftHand is 82.649979
LeftHand is 83.599976
LeftHand is 84.549973
LeftHand is 85.499969
LeftHand is 86.449966
LeftHand is 87.399963
LeftHand is 88.349960
LeftHand is 89.299957
LeftHand is 90.249954
LeftHand is 91.199951
LeftHand is 92.149948
LeftHand is 93.099945
LeftHand is 94.049942
LeftHand is 94.999939
LeftHand is 95.949936
LeftHand is 96.899933
LeftHand is 97.849930
LeftHand is 98.799927
LeftHand is 99.749924
LeftHand is 100.699921
LeftHand is 101.649918
LeftHand is 102.599915
LeftHand is 103.549911
LeftHand is 104.499908
LeftHand is 105.449905
LeftHand is 106.399902
LeftHand is 107.349899
LeftHand is 108.299896
LeftHand is 109.249893
LeftHand is 110.199890
LeftHand is 111.149887
LeftHand is 112.099884
LeftHand is 113.049881
LeftHand is 113.999878
LeftHand is 114.949875
LeftHand is 115.899872
LeftHand is 116.849869
LeftHand is 117.799866
LeftHand is 118.749863
LeftHand is 119.699860
LeftHand is 120.649857
LeftHand is 121.599854
LeftHand is 122.549850
LeftHand is 123.499847
LeftHand is 124.449844
LeftHand is 125.399841
LeftHand is 126.349838
LeftHand is 127.299835
LeftHand is 128.249832
LeftHand is 129.199829
LeftHand is 130.149826
LeftHand is 131.099823
LeftHand is 132.049820
LeftHand is 132.999817
LeftHand is 133.949814
LeftHand is 134.899811
LeftHand is 135.849808
LeftHand is 136.799805
LeftHand is 137.749802
LeftHand is 138.699799
LeftHand is 139.649796
LeftHand is 140.599792
LeftHand is 141.549789
LeftHand is 142.499786
LeftHand is 143.449783
LeftHand is 144.399780
LeftHand is 145.349777
LeftHand is 146.299774
LeftHand is 147.249771
LeftHand is 148.199768
LeftHand is 149.149765
LeftHand is 150.099762
LeftHand is 151.049759
LeftHand is 151.999756
LeftHand is 152.949753
LeftHand is 153.899750
LeftHand is 154.849747
LeftHand is 155.799744
LeftHand is 156.749741
LeftHand is 157.699738
LeftHand is 158.649734
LeftHand is 159.599731
LeftHand is 160.549728
LeftHand is 161.499725
LeftHand is 162.449722
LeftHand is 163.399719
LeftHand is 164.349716
LeftHand is 165.299713
LeftHand is 166.249710
LeftHand is 167.199707
LeftHand is 168.149704
LeftHand is 169.099701
LeftHand is 170.049698
LeftHand is 170.999695
LeftHand is 171.949692
LeftHand is 172.899689
LeftHand is 173.849686
LeftHand is 174.799683
LeftHand is 175.749680
LeftHand is 176.699677
